csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-1, Finger  c11,  2-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 2.018972e+00
-2.206122e+00 , 2.054293e+00
-2.112245e+00 , 2.090505e+00
-2.018367e+00 , 2.127636e+00
-1.924490e+00 , 2.165716e+00
-1.830612e+00 , 2.204775e+00
-1.736735e+00 , 2.244842e+00
-1.642857e+00 , 2.285947e+00
-1.548980e+00 , 2.328119e+00
-1.455102e+00 , 2.371388e+00
-1.361224e+00 , 2.415736e+00
-1.267347e+00 , 2.461169e+00
-1.173469e+00 , 2.507823e+00
-1.079592e+00 , 2.555739e+00
-9.857142e-01 , 2.604960e+00
-8.918366e-01 , 2.655529e+00
-7.979591e-01 , 2.707491e+00
-7.040815e-01 , 2.760898e+00
-6.102040e-01 , 2.815770e+00
-5.163264e-01 , 2.872143e+00
-4.224489e-01 , 2.930012e+00
-3.285713e-01 , 2.989423e+00
-2.346938e-01 , 3.050477e+00
-1.408162e-01 , 3.113239e+00
-4.693867e-02 , 3.177773e+00
4.693888e-02 , 3.244122e+00
1.408164e-01 , 3.312368e+00
2.346940e-01 , 3.382600e+00
3.285715e-01 , 3.454892e+00
4.224491e-01 , 3.529320e+00
5.163266e-01 , 3.605958e+00
6.102042e-01 , 3.684881e+00
7.040817e-01 , 3.766165e+00
7.979593e-01 , 3.849847e+00
8.918368e-01 , 3.936035e+00
9.857144e-01 , 4.024858e+00
1.079592e+00 , 4.116395e+00
1.173469e+00 , 4.210618e+00
1.267347e+00 , 4.307774e+00
1.361225e+00 , 4.408000e+00
1.455102e+00 , 4.511436e+00
1.548980e+00 , 4.618216e+00
1.642857e+00 , 4.728478e+00
1.736735e+00 , 4.842361e+00
1.830612e+00 , 4.960001e+00
1.924490e+00 , 5.081243e+00
2.018367e+00 , 5.206412e+00
2.112245e+00 , 5.335841e+00
2.206122e+00 , 5.469708e+00
2.300000e+00 , 5.608196e+00
1 ,   
-2.300000e+00 , 1.993523e+00
-2.206122e+00 , 2.028021e+00
-2.112245e+00 , 2.063365e+00
-2.018367e+00 , 2.099601e+00
-1.924490e+00 , 2.136759e+00
-1.830612e+00 , 2.174867e+00
-1.736735e+00 , 2.213953e+00
-1.642857e+00 , 2.254045e+00
-1.548980e+00 , 2.295171e+00
-1.455102e+00 , 2.337361e+00
-1.361224e+00 , 2.380642e+00
-1.267347e+00 , 2.424988e+00
-1.173469e+00 , 2.470454e+00
-1.079592e+00 , 2.517123e+00
-9.857142e-01 , 2.565034e+00
-8.918366e-01 , 2.614224e+00
-7.979591e-01 , 2.664731e+00
-7.040815e-01 , 2.716581e+00
-6.102040e-01 , 2.769809e+00
-5.163264e-01 , 2.824487e+00
-4.224489e-01 , 2.880665e+00
-3.285713e-01 , 2.938367e+00
-2.346938e-01 , 2.997654e+00
-1.408162e-01 , 3.058597e+00
-4.693867e-02 , 3.121253e+00
4.693888e-02 , 3.185682e+00
1.408164e-01 , 3.251910e+00
2.346940e-01 , 3.320030e+00
3.285715e-01 , 3.390122e+00
4.224491e-01 , 3.462255e+00
5.163266e-01 , 3.536490e+00
