csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger d8, 2.-mm slit
X (cm),P Energy (MeV)
-1.200000e+00 , 7.254955e+00
-1.151020e+00 , 7.354350e+00
-1.102041e+00 , 7.455785e+00
-1.053061e+00 , 7.559315e+00
-1.004081e+00 , 7.664995e+00
-9.551019e-01 , 7.772882e+00
-9.061223e-01 , 7.883031e+00
-8.571427e-01 , 7.995357e+00
-8.081632e-01 , 8.109500e+00
-7.591836e-01 , 8.226057e+00
-7.102040e-01 , 8.345113e+00
-6.612244e-01 , 8.466752e+00
-6.122448e-01 , 8.591058e+00
-5.632653e-01 , 8.718113e+00
-5.142857e-01 , 8.848004e+00
-4.653061e-01 , 8.980813e+00
-4.163265e-01 , 9.116623e+00
-3.673469e-01 , 9.255519e+00
-3.183674e-01 , 9.397586e+00
-2.693878e-01 , 9.542905e+00
-2.204082e-01 , 9.691564e+00
-1.714286e-01 , 9.843642e+00
-1.224490e-01 , 9.998694e+00
-7.346940e-02 , 1.015610e+01
-2.448981e-02 , 1.031722e+01
2.448979e-02 , 1.048218e+01
7.346939e-02 , 1.065113e+01
1.224490e-01 , 1.082418e+01
1.714286e-01 , 1.100146e+01
2.204082e-01 , 1.118311e+01
2.693878e-01 , 1.136926e+01
3.183674e-01 , 1.156002e+01
3.673469e-01 , 1.175554e+01
4.163265e-01 , 1.195594e+01
4.653061e-01 , 1.216134e+01
5.142857e-01 , 1.237189e+01
5.632653e-01 , 1.258771e+01
6.122448e-01 , 1.280892e+01
6.612244e-01 , 1.303563e+01
7.102040e-01 , 1.326799e+01
7.591836e-01 , 1.350616e+01
8.081632e-01 , 1.375028e+01
8.571427e-01 , 1.400039e+01
9.061223e-01 , 1.425674e+01
9.551019e-01 , 1.452004e+01
1.004081e+00 , 1.479060e+01
1.053061e+00 , 1.506845e+01
1.102041e+00 , 1.535383e+01
1.151020e+00 , 1.564705e+01
1.200000e+00 , 1.594829e+01
1 ,   
-1.200000e+00 , 7.061256e+00
-1.151020e+00 , 7.156246e+00
-1.102041e+00 , 7.253148e+00
-1.053061e+00 , 7.352015e+00
-1.004081e+00 , 7.452904e+00
-9.551019e-01 , 7.555868e+00
-9.061223e-01 , 7.660960e+00
-8.571427e-01 , 7.768236e+00
-8.081632e-01 , 7.877749e+00
-7.591836e-01 , 7.989443e+00
-7.102040e-01 , 8.102866e+00
-6.612244e-01 , 8.218674e+00
-6.122448e-01 , 8.336946e+00
-5.632653e-01 , 8.457767e+00
-5.142857e-01 , 8.581221e+00
-4.653061e-01 , 8.707390e+00
-4.163265e-01 , 8.836356e+00
-3.673469e-01 , 8.968205e+00
-3.183674e-01 , 9.103019e+00
-2.693878e-01 , 9.240880e+00
-2.204082e-01 , 9.381872e+00
-1.714286e-01 , 9.526078e+00
-1.224490e-01 , 9.673581e+00
-7.346940e-02 , 9.824466e+00
-2.448981e-02 , 9.978539e+00
2.448979e-02 , 1.013483e+01
7.346939e-02 , 1.029478e+01
1.224490e-01 , 1.045852e+01
1.714286e-01 , 1.062617e+01
2.204082e-01 , 1.079787e+01
2.693878e-01 , 1.097372e+01
3.183674e-01 , 1.115385e+01
3.673469e-01 , 1.133839e+01
4.163265e-01 , 1.152746e+01
4.653061e-01 , 1.172119e+01
5.142857e-01 , 1.191970e+01
5.632653e-01 , 1.212311e+01
6.122448e-01 , 1.233154e+01
6.612244e-01 , 1.254513e+01
7.102040e-01 , 1.276398e+01
7.591836e-01 , 1.298817e+01
8.081632e-01 , 1.321776e+01
8.571427e-01 , 1.345312e+01
9.061223e-01 , 1.369440e+01
9.551019e-01 , 1.394171e+01
1.004081e+00 , 1.419512e+01
