csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-1, Finger d9, 2.-mm slit
X (cm),P Energy (MeV)
-1.200000e+00 , 1.296164e+01
-1.151020e+00 , 1.318483e+01
-1.102041e+00 , 1.341359e+01
-1.053061e+00 , 1.364822e+01
-1.004081e+00 , 1.388887e+01
-9.551019e-01 , 1.413563e+01
-9.061223e-01 , 1.438884e+01
-8.571427e-01 , 1.464894e+01
-8.081632e-01 , 1.491610e+01
-7.591836e-01 , 1.519020e+01
-7.102040e-01 , 1.547148e+01
-6.612244e-01 , 1.576030e+01
-6.122448e-01 , 1.605682e+01
-5.632653e-01 , 1.636069e+01
-5.142857e-01 , 1.667283e+01
-4.653061e-01 , 1.699368e+01
-4.163265e-01 , 1.732365e+01
-3.673469e-01 , 1.766315e+01
-3.183674e-01 , 1.801261e+01
-2.693878e-01 , 1.837245e+01
-2.204082e-01 , 1.874308e+01
-1.714286e-01 , 1.912492e+01
-1.224490e-01 , 1.951839e+01
-7.346940e-02 , 1.992391e+01
-2.448981e-02 , 2.033898e+01
2.448979e-02 , 2.076650e+01
7.346939e-02 , 2.120772e+01
1.224490e-01 , 2.166326e+01
1.714286e-01 , 2.213371e+01
2.204082e-01 , 2.261968e+01
2.693878e-01 , 2.312178e+01
3.183674e-01 , 2.364060e+01
3.673469e-01 , 2.417676e+01
4.163265e-01 , 2.473085e+01
4.653061e-01 , 2.530073e+01
5.142857e-01 , 2.588776e+01
5.632653e-01 , 2.649551e+01
6.122448e-01 , 2.712498e+01
6.612244e-01 , 2.777719e+01
7.102040e-01 , 2.845313e+01
7.591836e-01 , 2.915383e+01
8.081632e-01 , 2.988028e+01
8.571427e-01 , 3.063002e+01
9.061223e-01 , 3.140734e+01
9.551019e-01 , 3.221440e+01
1.004081e+00 , 3.305267e+01
1.053061e+00 , 3.392364e+01
1.102041e+00 , 3.482878e+01
1.151020e+00 , 3.576957e+01
1.200000e+00 , 3.674327e+01
1 ,   
-1.200000e+00 , 1.251124e+01
-1.151020e+00 , 1.272320e+01
-1.102041e+00 , 1.294033e+01
-1.053061e+00 , 1.316236e+01
-1.004081e+00 , 1.338989e+01
-9.551019e-01 , 1.362327e+01
-9.061223e-01 , 1.386269e+01
-8.571427e-01 , 1.410834e+01
-8.081632e-01 , 1.436035e+01
-7.591836e-01 , 1.461865e+01
-7.102040e-01 , 1.488346e+01
-6.612244e-01 , 1.515528e+01
-6.122448e-01 , 1.543443e+01
-5.632653e-01 , 1.572118e+01
-5.142857e-01 , 1.601574e+01
-4.653061e-01 , 1.631745e+01
-4.163265e-01 , 1.662737e+01
-3.673469e-01 , 1.694592e+01
-3.183674e-01 , 1.727350e+01
-2.693878e-01 , 1.761052e+01
-2.204082e-01 , 1.795739e+01
-1.714286e-01 , 1.831452e+01
-1.224490e-01 , 1.868231e+01
-7.346940e-02 , 1.906118e+01
-2.448981e-02 , 1.945154e+01
2.448979e-02 , 1.985379e+01
7.346939e-02 , 2.026589e+01
1.224490e-01 , 2.068952e+01
1.714286e-01 , 2.112667e+01
2.204082e-01 , 2.157793e+01
2.693878e-01 , 2.204392e+01
3.183674e-01 , 2.252524e+01
3.673469e-01 , 2.302248e+01
4.163265e-01 , 2.353626e+01
4.653061e-01 , 2.406718e+01
5.142857e-01 , 2.461585e+01
5.632653e-01 , 2.518128e+01
6.122448e-01 , 2.576261e+01
6.612244e-01 , 2.636434e+01
7.102040e-01 , 2.698745e+01
7.591836e-01 , 2.763292e+01
8.081632e-01 , 2.830175e+01
8.571427e-01 , 2.899491e+01
9.061223e-01 , 2.971339e+01
9.551019e-01 , 3.045543e+01
1.004081e+00 , 3.122339e+01
1.053061e+00 , 3.202054e+01
1.102041e+00 , 3.284836e+01
1.151020e+00 , 3.370834e+01
1.200000e+00 , 3.460197e+01
1 ,   
-1.200000e+00 , 1.208757e+01
-1.151020e+00 , 1.228848e+01
-1.102041e+00 , 1.249430e+01
-1.053061e+00 , 1.270515e+01
-1.004081e+00 , 1.292115e+01
-9.551019e-01 , 1.314225e+01
-9.061223e-01 , 1.336875e+01
