csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-1, Finger d8w, 2.-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 6.342062e+00
-2.206122e+00 , 6.497397e+00
-2.112245e+00 , 6.658400e+00
-2.018367e+00 , 6.825322e+00
-1.924490e+00 , 6.998413e+00
-1.830612e+00 , 7.177448e+00
-1.736735e+00 , 7.363279e+00
-1.642857e+00 , 7.556256e+00
-1.548980e+00 , 7.756723e+00
-1.455102e+00 , 7.965025e+00
-1.361224e+00 , 8.180233e+00
-1.267347e+00 , 8.403704e+00
-1.173469e+00 , 8.636232e+00
-1.079592e+00 , 8.878379e+00
-9.857142e-01 , 9.130701e+00
-8.918366e-01 , 9.393756e+00
-7.979591e-01 , 9.668101e+00
-7.040815e-01 , 9.954297e+00
-6.102040e-01 , 1.025046e+01
-5.163264e-01 , 1.055931e+01
-4.224489e-01 , 1.088211e+01
-3.285713e-01 , 1.121969e+01
-2.346938e-01 , 1.157285e+01
-1.408162e-01 , 1.194242e+01
-4.693867e-02 , 1.232921e+01
4.693888e-02 , 1.273403e+01
1.408164e-01 , 1.315736e+01
2.346940e-01 , 1.360038e+01
3.285715e-01 , 1.406501e+01
4.224491e-01 , 1.455260e+01
5.163266e-01 , 1.506533e+01
6.102042e-01 , 1.560354e+01
7.040817e-01 , 1.616887e+01
7.979593e-01 , 1.676227e+01
8.918368e-01 , 1.738721e+01
9.857144e-01 , 1.804648e+01
1.079592e+00 , 1.874284e+01
1.173469e+00 , 1.947909e+01
1.267347e+00 , 2.025597e+01
1.361225e+00 , 2.107464e+01
1.455102e+00 , 2.194330e+01
1.548980e+00 , 2.286590e+01
1.642857e+00 , 2.384639e+01
1.736735e+00 , 2.488872e+01
1.830612e+00 , 2.598903e+01
1.924490e+00 , 2.716159e+01
2.018367e+00 , 2.841394e+01
2.112245e+00 , 2.975264e+01
2.206122e+00 , 3.117849e+01
2.300000e+00 , 3.270515e+01
1 ,   
-2.300000e+00 , 6.193848e+00
-2.206122e+00 , 6.343314e+00
-2.112245e+00 , 6.498147e+00
-2.018367e+00 , 6.658589e+00
-1.924490e+00 , 6.824879e+00
-1.830612e+00 , 6.997254e+00
-1.736735e+00 , 7.175388e+00
-1.642857e+00 , 7.360231e+00
-1.548980e+00 , 7.552146e+00
-1.455102e+00 , 7.751482e+00
-1.361224e+00 , 7.958593e+00
-1.267347e+00 , 8.172703e+00
-1.173469e+00 , 8.395001e+00
-1.079592e+00 , 8.626295e+00
-9.857142e-01 , 8.867129e+00
-8.918366e-01 , 9.118051e+00
-7.979591e-01 , 9.379603e+00
-7.040815e-01 , 9.652334e+00
-6.102040e-01 , 9.936790e+00
-5.163264e-01 , 1.023108e+01
-4.224489e-01 , 1.053769e+01
-3.285713e-01 , 1.085810e+01
-2.346938e-01 , 1.119313e+01
-1.408162e-01 , 1.154361e+01
-4.693867e-02 , 1.191035e+01
4.693888e-02 , 1.229418e+01
1.408164e-01 , 1.269591e+01
2.346940e-01 , 1.311608e+01
3.285715e-01 , 1.355564e+01
4.224491e-01 , 1.401679e+01
5.163266e-01 , 1.450069e+01
6.102042e-01 , 1.500768e+01
7.040817e-01 , 1.554041e+01
7.979593e-01 , 1.610042e+01
8.918368e-01 , 1.668803e+01
9.857144e-01 , 1.730674e+01
1.079592e+00 , 1.795927e+01
1.173469e+00 , 1.864832e+01
1.267347e+00 , 1.937661e+01
1.361225e+00 , 2.014557e+01
1.455102e+00 , 2.095414e+01
1.548980e+00 , 2.181178e+01
1.642857e+00 , 2.272242e+01
1.736735e+00 , 2.369002e+01
1.830612e+00 , 2.471853e+01
1.924490e+00 , 2.580574e+01
2.018367e+00 , 2.696225e+01
2.112245e+00 , 2.819686e+01
2.206122e+00 , 2.951595e+01
2.300000e+00 , 3.092088e+01
1 ,   
-2.300000e+00 , 6.051780e+00
-2.206122e+00 , 6.195699e+00
-2.112245e+00 , 6.344711e+00
-2.018367e+00 , 6.499044e+00
-1.924490e+00 , 6.658927e+00
-1.830612e+00 , 6.824588e+00
-1.736735e+00 , 6.996255e+00
-1.642857e+00 , 7.173488e+00
-1.548980e+00 , 7.357349e+00
-1.455102e+00 , 7.548215e+00
-1.361224e+00 , 7.746445e+00
-1.267347e+00 , 7.952398e+00
-1.173469e+00 , 8.165475e+00
-1.079592e+00 , 8.386701e+00
-9.857142e-01 , 8.616872e+00
