csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-1, Finger d9w, 2.-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 9.108824e+00
-2.206122e+00 , 9.367685e+00
-2.112245e+00 , 9.637779e+00
-2.018367e+00 , 9.919669e+00
-1.924490e+00 , 1.021167e+01
-1.830612e+00 , 1.051589e+01
-1.736735e+00 , 1.083403e+01
-1.642857e+00 , 1.116693e+01
-1.548980e+00 , 1.151542e+01
-1.455102e+00 , 1.188035e+01
-1.361224e+00 , 1.226254e+01
-1.267347e+00 , 1.266284e+01
-1.173469e+00 , 1.308189e+01
-1.079592e+00 , 1.352039e+01
-9.857142e-01 , 1.398070e+01
-8.918366e-01 , 1.446396e+01
-7.979591e-01 , 1.497264e+01
-7.040815e-01 , 1.550716e+01
-6.102040e-01 , 1.606932e+01
-5.163264e-01 , 1.665966e+01
-4.224489e-01 , 1.728189e+01
-3.285713e-01 , 1.793897e+01
-2.346938e-01 , 1.863384e+01
-1.408162e-01 , 1.936945e+01
-4.693867e-02 , 2.014746e+01
4.693888e-02 , 2.096699e+01
1.408164e-01 , 2.183790e+01
2.346940e-01 , 2.276443e+01
3.285715e-01 , 2.375085e+01
4.224491e-01 , 2.480140e+01
5.163266e-01 , 2.591267e+01
6.102042e-01 , 2.709831e+01
7.040817e-01 , 2.836731e+01
7.979593e-01 , 2.972676e+01
8.918368e-01 , 3.117762e+01
9.857144e-01 , 3.273457e+01
1.079592e+00 , 3.440959e+01
1.173469e+00 , 3.621182e+01
1.267347e+00 , 3.814553e+01
1.361225e+00 , 4.023706e+01
1.455102e+00 , 4.250299e+01
1.548980e+00 , 4.495995e+01
1.642857e+00 , 4.762451e+01
1.736735e+00 , 5.051329e+01
1.830612e+00 , 5.364288e+01
1.924490e+00 , 5.702988e+01
2.018367e+00 , 6.069090e+01
2.112245e+00 , 6.464253e+01
2.206122e+00 , 6.890138e+01
2.300000e+00 , 7.348405e+01
1 ,   
-2.300000e+00 , 8.848686e+00
-2.206122e+00 , 9.095546e+00
-2.112245e+00 , 9.352978e+00
-2.018367e+00 , 9.621537e+00
-1.924490e+00 , 9.901777e+00
-1.830612e+00 , 1.019205e+01
-1.736735e+00 , 1.049413e+01
-1.642857e+00 , 1.080999e+01
-1.548980e+00 , 1.114047e+01
-1.455102e+00 , 1.148641e+01
-1.361224e+00 , 1.184865e+01
-1.267347e+00 , 1.222804e+01
-1.173469e+00 , 1.262541e+01
-1.079592e+00 , 1.304150e+01
-9.857142e-01 , 1.347671e+01
-8.918366e-01 , 1.393367e+01
-7.979591e-01 , 1.441365e+01
-7.040815e-01 , 1.491704e+01
-6.102040e-01 , 1.544623e+01
-5.163264e-01 , 1.600334e+01
-4.224489e-01 , 1.658817e+01
-3.285713e-01 , 1.720449e+01
-2.346938e-01 , 1.785518e+01
-1.408162e-01 , 1.854311e+01
-4.693867e-02 , 1.927118e+01
4.693888e-02 , 2.004185e+01
1.408164e-01 , 2.085184e+01
2.346940e-01 , 2.171230e+01
3.285715e-01 , 2.262749e+01
4.224491e-01 , 2.360168e+01
5.163266e-01 , 2.463911e+01
6.102042e-01 , 2.573799e+01
7.040817e-01 , 2.690836e+01
7.979593e-01 , 2.816044e+01
8.918368e-01 , 2.950117e+01
9.857144e-01 , 3.093207e+01
1.079592e+00 , 3.246505e+01
1.173469e+00 , 3.411366e+01
1.267347e+00 , 3.588836e+01
1.361225e+00 , 3.779106e+01
1.455102e+00 , 3.984735e+01
1.548980e+00 , 4.207431e+01
1.642857e+00 , 4.448840e+01
1.736735e+00 , 4.710606e+01
1.830612e+00 , 4.994373e+01
1.924490e+00 , 5.301786e+01
2.018367e+00 , 5.634488e+01
2.112245e+00 , 5.994126e+01
2.206122e+00 , 6.382343e+01
2.300000e+00 , 6.800784e+01
1 ,   
-2.300000e+00 , 8.601643e+00
-2.206122e+00 , 8.837354e+00
-2.112245e+00 , 9.083014e+00
-2.018367e+00 , 9.339163e+00
-1.924490e+00 , 9.606339e+00
-1.830612e+00 , 9.885084e+00
-1.736735e+00 , 1.017382e+01
-1.642857e+00 , 1.047394e+01
-1.548980e+00 , 1.078769e+01
-1.455102e+00 , 1.111590e+01
-1.361224e+00 , 1.145943e+01
-1.267347e+00 , 1.181911e+01
-1.173469e+00 , 1.219579e+01
-1.079592e+00 , 1.259031e+01
-9.857142e-01 , 1.300350e+01
-8.918366e-01 , 1.343587e+01
-7.979591e-01 , 1.388916e+01
-7.040815e-01 , 1.436421e+01
-6.102040e-01 , 1.486408e+01
-5.163264e-01 , 1.538908e+01
-4.224489e-01 , 1.594056e+01
-3.285713e-01 , 1.652028e+01
-2.346938e-01 , 1.713117e+01
-1.408162e-01 , 1.777605e+01
-4.693867e-02 , 1.845770e+01
4.693888e-02 , 1.917888e+01
1.408164e-01 , 1.994237e+01
2.346940e-01 , 2.074368e+01
3.285715e-01 , 2.159391e+01
4.224491e-01 , 2.249797e+01
5.163266e-01 , 2.346014e+01
6.102042e-01 , 2.448471e+01
7.040817e-01 , 2.557148e+01
7.979593e-01 , 2.672724e+01
8.918368e-01 , 2.796317e+01
9.857144e-01 , 2.928605e+01
1.079592e+00 , 3.069816e+01
1.173469e+00 , 3.220819e+01
1.267347e+00 , 3.383148e+01
1.361225e+00 , 3.557856e+01
1.455102e+00 , 3.745279e+01
1.548980e+00 , 3.947546e+01
1.642857e+00 , 4.166538e+01
1.736735e+00 , 4.403889e+01
1.830612e+00 , 4.661234e+01
1.924490e+00 , 4.940207e+01
2.018367e+00 , 5.242444e+01
2.112245e+00 , 5.569580e+01
2.206122e+00 , 5.923250e+01
2.300000e+00 , 6.305088e+01
