csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger d9w, 2.-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 7.701022e+00
-2.206122e+00 , 7.907802e+00
-2.112245e+00 , 8.122067e+00
-2.018367e+00 , 8.344769e+00
-1.924490e+00 , 8.576919e+00
-1.830612e+00 , 8.819118e+00
-1.736735e+00 , 9.071969e+00
-1.642857e+00 , 9.336072e+00
-1.548980e+00 , 9.612032e+00
-1.455102e+00 , 9.900447e+00
-1.361224e+00 , 1.019892e+01
-1.267347e+00 , 1.051065e+01
-1.173469e+00 , 1.083721e+01
-1.079592e+00 , 1.117953e+01
-9.857142e-01 , 1.153856e+01
-8.918366e-01 , 1.191522e+01
-7.979591e-01 , 1.231047e+01
-7.040815e-01 , 1.272523e+01
-6.102040e-01 , 1.316034e+01
-5.163264e-01 , 1.361693e+01
-4.224489e-01 , 1.409593e+01
-3.285713e-01 , 1.459953e+01
-2.346938e-01 , 1.513035e+01
-1.408162e-01 , 1.568985e+01
-4.693867e-02 , 1.627907e+01
4.693888e-02 , 1.690036e+01
1.408164e-01 , 1.755726e+01
2.346940e-01 , 1.825291e+01
3.285715e-01 , 1.899040e+01
4.224491e-01 , 1.977283e+01
5.163266e-01 , 2.059626e+01
6.102042e-01 , 2.147179e+01
7.040817e-01 , 2.240501e+01
7.979593e-01 , 2.340069e+01
8.918368e-01 , 2.446358e+01
9.857144e-01 , 2.559225e+01
1.079592e+00 , 2.679785e+01
1.173469e+00 , 2.809100e+01
1.267347e+00 , 2.947932e+01
1.361225e+00 , 3.096290e+01
1.455102e+00 , 3.255883e+01
1.548980e+00 , 3.428098e+01
1.642857e+00 , 3.613921e+01
1.736735e+00 , 3.814315e+01
1.830612e+00 , 4.031707e+01
1.924490e+00 , 4.267829e+01
2.018367e+00 , 4.524413e+01
2.112245e+00 , 4.803191e+01
2.206122e+00 , 5.105895e+01
2.300000e+00 , 5.434256e+01
1 ,   
-2.300000e+00 , 7.489374e+00
-2.206122e+00 , 7.686617e+00
-2.112245e+00 , 7.891864e+00
-2.018367e+00 , 8.104566e+00
-1.924490e+00 , 8.325438e+00
-1.830612e+00 , 8.555615e+00
-1.736735e+00 , 8.795691e+00
-1.642857e+00 , 9.046264e+00
-1.548980e+00 , 9.307930e+00
-1.455102e+00 , 9.581289e+00
-1.361224e+00 , 9.866935e+00
-1.267347e+00 , 1.016311e+01
-1.173469e+00 , 1.047197e+01
-1.079592e+00 , 1.079540e+01
-9.857142e-01 , 1.113428e+01
-8.918366e-01 , 1.148952e+01
-7.979591e-01 , 1.186202e+01
-7.040815e-01 , 1.225268e+01
-6.102040e-01 , 1.266240e+01
-5.163264e-01 , 1.309188e+01
-4.224489e-01 , 1.354226e+01
-3.285713e-01 , 1.401503e+01
-2.346938e-01 , 1.451182e+01
-1.408162e-01 , 1.503531e+01
-4.693867e-02 , 1.558657e+01
4.693888e-02 , 1.616722e+01
1.408164e-01 , 1.677904e+01
2.346940e-01 , 1.742560e+01
3.285715e-01 , 1.810993e+01
4.224491e-01 , 1.883506e+01
5.163266e-01 , 1.960403e+01
6.102042e-01 , 2.041426e+01
7.040817e-01 , 2.127317e+01
7.979593e-01 , 2.218813e+01
8.918368e-01 , 2.316384e+01
9.857144e-01 , 2.420500e+01
1.079592e+00 , 2.531221e+01
1.173469e+00 , 2.649144e+01
1.267347e+00 , 2.775550e+01
1.361225e+00 , 2.911188e+01
1.455102e+00 , 3.056263e+01
1.548980e+00 , 3.211889e+01
1.642857e+00 , 3.379720e+01
1.736735e+00 , 3.560946e+01
1.830612e+00 , 3.756094e+01
1.924490e+00 , 3.967572e+01
