csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger d9w, 2.-mm slit
X (cm),P Energy (MeV)
2.018367e+00 , 4.197100e+01
2.112245e+00 , 4.446362e+01
2.206122e+00 , 4.717038e+01
2.300000e+00 , 5.010809e+01
1 ,   
-2.300000e+00 , 7.290440e+00
-2.206122e+00 , 7.478756e+00
-2.112245e+00 , 7.674589e+00
-2.018367e+00 , 7.878319e+00
-1.924490e+00 , 8.089508e+00
-1.830612e+00 , 8.308663e+00
-1.736735e+00 , 8.536987e+00
-1.642857e+00 , 8.775068e+00
-1.548980e+00 , 9.023497e+00
-1.455102e+00 , 9.282858e+00
-1.361224e+00 , 9.553744e+00
-1.267347e+00 , 9.836741e+00
-1.173469e+00 , 1.013050e+01
-1.079592e+00 , 1.043641e+01
-9.857142e-01 , 1.075663e+01
-8.918366e-01 , 1.109204e+01
-7.979591e-01 , 1.144350e+01
-7.040815e-01 , 1.181191e+01
-6.102040e-01 , 1.219814e+01
-5.163264e-01 , 1.260306e+01
-4.224489e-01 , 1.302740e+01
-3.285713e-01 , 1.347205e+01
-2.346938e-01 , 1.393887e+01
-1.408162e-01 , 1.442907e+01
-4.693867e-02 , 1.494507e+01
4.693888e-02 , 1.548857e+01
1.408164e-01 , 1.606119e+01
2.346940e-01 , 1.666385e+01
3.285715e-01 , 1.730028e+01
4.224491e-01 , 1.797349e+01
5.163266e-01 , 1.868646e+01
6.102042e-01 , 1.944221e+01
7.040817e-01 , 2.023982e+01
7.979593e-01 , 2.108291e+01
8.918368e-01 , 2.198048e+01
9.857144e-01 , 2.293715e+01
1.079592e+00 , 2.395755e+01
1.173469e+00 , 2.504431e+01
1.267347e+00 , 2.619826e+01
1.361225e+00 , 2.743444e+01
1.455102e+00 , 2.876023e+01
1.548980e+00 , 3.018003e+01
1.642857e+00 , 3.169868e+01
1.736735e+00 , 3.333535e+01
1.830612e+00 , 3.510190e+01
1.924490e+00 , 3.700563e+01
2.018367e+00 , 3.906461e+01
2.112245e+00 , 4.129754e+01
2.206122e+00 , 4.372064e+01
2.300000e+00 , 4.635015e+01
