csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger d9, 2.-mm slit
X (cm),P Energy (MeV)
-1.200000e+00 , 1.074336e+01
-1.151020e+00 , 1.091760e+01
-1.102041e+00 , 1.109619e+01
-1.053061e+00 , 1.127926e+01
-1.004081e+00 , 1.146696e+01
-9.551019e-01 , 1.165940e+01
-9.061223e-01 , 1.185673e+01
-8.571427e-01 , 1.205908e+01
-8.081632e-01 , 1.226658e+01
-7.591836e-01 , 1.247936e+01
-7.102040e-01 , 1.269757e+01
-6.612244e-01 , 1.292132e+01
-6.122448e-01 , 1.315066e+01
-5.632653e-01 , 1.338587e+01
-5.142857e-01 , 1.362710e+01
-4.653061e-01 , 1.387448e+01
-4.163265e-01 , 1.412798e+01
-3.673469e-01 , 1.438827e+01
-3.183674e-01 , 1.465590e+01
-2.693878e-01 , 1.493097e+01
-2.204082e-01 , 1.521358e+01
-1.714286e-01 , 1.550411e+01
-1.224490e-01 , 1.580287e+01
-7.346940e-02 , 1.610952e+01
-2.448981e-02 , 1.642456e+01
2.448979e-02 , 1.674866e+01
7.346939e-02 , 1.708226e+01
1.224490e-01 , 1.742579e+01
1.714286e-01 , 1.777970e+01
2.204082e-01 , 1.814443e+01
2.693878e-01 , 1.852042e+01
3.183674e-01 , 1.890811e+01
3.673469e-01 , 1.930795e+01
4.163265e-01 , 1.972038e+01
4.653061e-01 , 2.014294e+01
5.142857e-01 , 2.057784e+01
5.632653e-01 , 2.102711e+01
6.122448e-01 , 2.149145e+01
6.612244e-01 , 2.197152e+01
7.102040e-01 , 2.246799e+01
7.591836e-01 , 2.298156e+01
8.081632e-01 , 2.351288e+01
8.571427e-01 , 2.406264e+01
9.061223e-01 , 2.463151e+01
9.551019e-01 , 2.521678e+01
1.004081e+00 , 2.582160e+01
1.053061e+00 , 2.644859e+01
1.102041e+00 , 2.709883e+01
1.151020e+00 , 2.777340e+01
1.200000e+00 , 2.847338e+01
1 ,   
-1.200000e+00 , 1.038325e+01
-1.151020e+00 , 1.054796e+01
-1.102041e+00 , 1.071669e+01
-1.053061e+00 , 1.088956e+01
-1.004081e+00 , 1.106672e+01
-9.551019e-01 , 1.124828e+01
-9.061223e-01 , 1.143437e+01
-8.571427e-01 , 1.162512e+01
-8.081632e-01 , 1.182066e+01
-7.591836e-01 , 1.202112e+01
-7.102040e-01 , 1.222663e+01
-6.612244e-01 , 1.243731e+01
-6.122448e-01 , 1.265328e+01
-5.632653e-01 , 1.287469e+01
-5.142857e-01 , 1.310143e+01
-4.653061e-01 , 1.333393e+01
-4.163265e-01 , 1.357241e+01
-3.673469e-01 , 1.381702e+01
-3.183674e-01 , 1.406779e+01
-2.693878e-01 , 1.432518e+01
-2.204082e-01 , 1.458974e+01
-1.714286e-01 , 1.486166e+01
-1.224490e-01 , 1.514090e+01
-7.346940e-02 , 1.542782e+01
-2.448981e-02 , 1.572276e+01
2.448979e-02 , 1.602572e+01
7.346939e-02 , 1.633678e+01
1.224490e-01 , 1.665670e+01
1.714286e-01 , 1.698591e+01
2.204082e-01 , 1.732485e+01
2.693878e-01 , 1.767394e+01
3.183674e-01 , 1.803362e+01
3.673469e-01 , 1.840432e+01
4.163265e-01 , 1.878647e+01
4.653061e-01 , 1.918049e+01
5.142857e-01 , 1.958683e+01
5.632653e-01 , 2.000435e+01
6.122448e-01 , 2.043236e+01
6.612244e-01 , 2.087439e+01
7.102040e-01 , 2.133108e+01
7.591836e-01 , 2.180312e+01
8.081632e-01 , 2.229116e+01
8.571427e-01 , 2.279588e+01
9.061223e-01 , 2.331794e+01
9.551019e-01 , 2.385801e+01
1.004081e+00 , 2.441676e+01
1.053061e+00 , 2.499330e+01
1.102041e+00 , 2.558688e+01
1.151020e+00 , 2.620201e+01
1.200000e+00 , 2.683975e+01
1 ,   
-1.200000e+00 , 1.004652e+01
-1.151020e+00 , 1.020240e+01
-1.102041e+00 , 1.036199e+01
-1.053061e+00 , 1.052542e+01
-1.004081e+00 , 1.069282e+01
-9.551019e-01 , 1.086430e+01
-9.061223e-01 , 1.103998e+01
-8.571427e-01 , 1.122001e+01
-8.081632e-01 , 1.140450e+01
-7.591836e-01 , 1.159357e+01
-7.102040e-01 , 1.178735e+01
-6.612244e-01 , 1.198597e+01
-6.122448e-01 , 1.218955e+01
-5.632653e-01 , 1.239821e+01
-5.142857e-01 , 1.261208e+01
-4.653061e-01 , 1.283129e+01
-4.163265e-01 , 1.305574e+01
-3.673469e-01 , 1.328577e+01
-3.183674e-01 , 1.352170e+01
-2.693878e-01 , 1.376371e+01
-2.204082e-01 , 1.401188e+01
-1.714286e-01 , 1.426649e+01
-1.224490e-01 , 1.452794e+01
-7.346940e-02 , 1.479653e+01
-2.448981e-02 , 1.507246e+01
2.448979e-02 , 1.535599e+01
7.346939e-02 , 1.564744e+01
1.224490e-01 , 1.594697e+01
1.714286e-01 , 1.625418e+01
2.204082e-01 , 1.657003e+01
2.693878e-01 , 1.689495e+01
3.183674e-01 , 1.722937e+01
3.673469e-01 , 1.757371e+01
4.163265e-01 , 1.792840e+01
4.653061e-01 , 1.829386e+01
5.142857e-01 , 1.867052e+01
5.632653e-01 , 1.905881e+01
6.122448e-01 , 1.945914e+01
6.612244e-01 , 1.987178e+01
7.102040e-01 , 2.029324e+01
7.591836e-01 , 2.072834e+01
8.081632e-01 , 2.117775e+01
8.571427e-01 , 2.164213e+01
9.061223e-01 , 2.212213e+01
9.551019e-01 , 2.261841e+01
1.004081e+00 , 2.313163e+01
1.053061e+00 , 2.366244e+01
1.102041e+00 , 2.421151e+01
1.151020e+00 , 2.477949e+01
1.200000e+00 , 2.536252e+01
